orcid,faculties,note
no_orcid_8728,mint,hand-classified from publications
no_orcid_8892,sowi,hand-classified from publications
no_orcid_8980,mint,hand-classified from publications
no_orcid_9017,phil,hand-classified from publications
no_orcid_9485,mint,hand-classified from publications
no_orcid_9486,mint,hand-classified from publications
no_orcid_9488,mint,hand-classified from publications
no_orcid_9593,sowi,hand-classified from publications
0000-0001-5608-4336,phil,hand-classified from publications
0000-0001-7106-7833,phil,hand-classified from publications
0000-0001-7234-1136,phil,hand-classified from publications
0000-0001-8775-8567,phil,hand-classified from publications
0000-0001-8959-2695,phil,hand-classified from publications
0000-0001-9015-4545,phil,hand-classified from publications
0000-0001-9272-2518,mint,hand-classified from publications
0000-0001-9734-8270,sowi,hand-classified from publications
0000-0002-0944-5095,phil,hand-classified from publications
0000-0002-2709-9595,rewi,hand-classified from publications
0000-0002-3065-1926,phil,hand-classified from publications
0000-0002-3257-3087,phil,hand-classified from publications
0000-0002-4962-5330,sowi,hand-classified from publications
0000-0002-4985-5275,phil,hand-classified from publications
0000-0002-5128-0415,phil,hand-classified from publications
0000-0002-5439-5082,phil,hand-classified from publications
0000-0002-6196-6488,sowi,hand-classified from publications
0000-0002-7555-3334,phil,hand-classified from publications
0000-0002-8027-5383,phil,hand-classified from publications
0000-0002-8042-7551,phil,hand-classified from publications
0000-0002-8162-7694,phil,hand-classified from publications
0000-0002-8275-939X,phil,hand-classified from publications
0000-0002-8572-5507,sowi,hand-classified from publications
0000-0002-9984-1373,phil,hand-classified from publications
0000-0003-0026-6450,phil,hand-classified from publications
0000-0003-0495-3426,mint,hand-classified from publications
0000-0003-1615-3960,phil,hand-classified from publications
0000-0003-2111-0965,phil,hand-classified from publications
0000-0003-2642-068X,sowi,hand-classified from publications
0000-0003-3003-7229,sowi,hand-classified from publications
0000-0003-3613-4193,rewi,hand-classified from publications
0000-0003-4169-1330,rewi,hand-classified from publications
0000-0003-4294-3632,sowi,hand-classified from publications
0000-0003-4516-3391,sowi,hand-classified from publications
0000-0003-4609-9176,phil,hand-classified from publications
0009-0000-5853-4388,phil,hand-classified from publications
0009-0001-4816-8916,phil,hand-classified from publications
0009-0002-2745-1146,rewi,hand-classified from publications
0009-0007-1571-9172,phil,hand-classified from publications
no_orcid_10242,phil,hand-classified from publications
no_orcid_1225,jura,hand-classified from publications
no_orcid_1239,rewi,hand-classified from publications
